policy,write_pct,logical_reads,logical_writes,physical_reads,physical_writes,buffer_hits,buffer_misses
LRU,0,2000,0,1621,0,379,1621
LRU,10,2000,194,1621,190,379,1621
LRU,25,2000,468,1621,443,379,1621
LRU,50,2000,989,1621,867,379,1621
LRU,75,2000,1511,1621,1264,379,1621
LRU,100,2000,2000,1621,1601,379,1621
MRU,0,2000,0,1614,0,386,1614
MRU,10,2000,194,1614,191,386,1614
MRU,25,2000,468,1614,437,386,1614
MRU,50,2000,989,1614,870,386,1614
MRU,75,2000,1511,1614,1259,386,1614
MRU,100,2000,2000,1614,1594,386,1614
